number,value,datetime_start,datetime_complete,duration,params_crossover_rate,params_max_generations,params_mutation_rate,params_pop_size,state
0,0.2791666666666667,2024-06-29 16:53:04.520808,2024-06-29 16:55:32.006921,0 days 00:02:27.486113,0.7993292420985183,193,0.3686770314875885,106,COMPLETE
1,0.26166666666666666,2024-06-29 16:55:32.007917,2024-06-29 16:56:03.214412,0 days 00:00:31.206495,0.9330880728874675,73,0.03846096996241773,73,COMPLETE
2,0.21,2024-06-29 16:56:03.216440,2024-06-29 16:58:14.102453,0 days 00:02:10.886013,0.9849549260809971,156,0.020086402204943198,140,COMPLETE
3,0.25166666666666665,2024-06-29 16:58:14.103449,2024-06-29 16:59:42.476079,0 days 00:01:28.372630,0.5917022549267169,82,0.0990942339314793,175,COMPLETE
4,0.3025,2024-06-29 16:59:42.478075,2024-06-29 17:01:01.201687,0 days 00:01:18.723612,0.645614570099021,129,0.22165305913463673,95,COMPLETE
5,0.30416666666666664,2024-06-29 17:01:01.202683,2024-06-29 17:02:01.636209,0 days 00:01:00.433526,0.6831809216468459,71,0.1531508777822569,142,COMPLETE
6,0.2841666666666667,2024-06-29 17:02:01.638165,2024-06-29 17:03:56.023215,0 days 00:01:54.385050,0.7571172192068059,168,0.10784015325759626,118,COMPLETE
7,0.27166666666666667,2024-06-29 17:03:56.024213,2024-06-29 17:04:49.029520,0 days 00:00:53.005307,0.5852620618436457,57,0.3076969774317048,139,COMPLETE
8,0.31666666666666665,2024-06-29 17:04:49.030481,2024-06-29 17:05:53.680868,0 days 00:01:04.650387,0.9041986740582306,193,0.4831596962065341,59,COMPLETE
9,0.30583333333333335,2024-06-29 17:05:53.682902,2024-06-29 17:06:34.292488,0 days 00:00:40.609586,0.7200762468698007,64,0.34527418299095686,95,COMPLETE
10,0.175,2024-06-29 17:06:34.294444,2024-06-29 17:09:29.280951,0 days 00:02:54.986507,0.9775458067418015,134,0.01369818646498372,194,COMPLETE
11,0.17833333333333334,2024-06-29 17:09:29.281949,2024-06-29 17:12:09.516949,0 days 00:02:40.235000,0.9933080661316598,137,0.01723347562967334,195,COMPLETE
12,0.22083333333333333,2024-06-29 17:12:09.518941,2024-06-29 17:14:19.808727,0 days 00:02:10.289786,0.8488955341397639,115,0.2004902577865462,196,COMPLETE
13,0.17333333333333334,2024-06-29 17:14:19.808727,2024-06-29 17:16:41.460866,0 days 00:02:21.652139,0.9847131373438699,122,0.025167150341825872,196,COMPLETE
14,0.2575,2024-06-29 17:16:41.461862,2024-06-29 17:18:27.844798,0 days 00:01:46.382936,0.8780863884590011,103,0.09675824485577729,174,COMPLETE
15,0.20666666666666667,2024-06-29 17:18:27.847787,2024-06-29 17:20:10.165117,0 days 00:01:42.317330,0.9477419509093674,98,0.13611740342205592,169,COMPLETE
16,0.25583333333333336,2024-06-29 17:20:10.166114,2024-06-29 17:22:30.291321,0 days 00:02:20.125207,0.8264648750204893,149,0.06259390683225328,155,COMPLETE
17,0.18916666666666668,2024-06-29 17:22:30.293349,2024-06-29 17:24:44.792786,0 days 00:02:14.499437,0.9314071361143548,115,0.1682372394457161,199,COMPLETE
18,0.1775,2024-06-29 17:24:44.793783,2024-06-29 17:27:18.356045,0 days 00:02:33.562262,0.9994280965387005,144,0.2535718428693177,181,COMPLETE
19,0.29333333333333333,2024-06-29 17:27:18.357043,2024-06-29 17:29:50.087577,0 days 00:02:31.730534,0.7764209924043369,165,0.4576652671108272,160,COMPLETE
20,0.225,2024-06-29 17:29:50.088574,2024-06-29 17:31:37.880514,0 days 00:01:47.791940,0.8705300875955625,93,0.08622437350380471,182,COMPLETE
21,0.3016666666666667,2024-06-29 17:31:37.882509,2024-06-29 17:34:06.561273,0 days 00:02:28.678764,0.5138903266349962,141,0.26317620852704104,185,COMPLETE
22,0.18333333333333332,2024-06-29 17:34:06.562229,2024-06-29 17:36:16.249354,0 days 00:02:09.687125,0.9920819566183433,120,0.4219127352613727,187,COMPLETE
23,0.1875,2024-06-29 17:36:16.252343,2024-06-29 17:38:23.405330,0 days 00:02:07.152987,0.9546918630818175,132,0.28684647433856086,164,COMPLETE
24,0.18166666666666667,2024-06-29 17:38:23.408322,2024-06-29 17:41:42.718325,0 days 00:03:19.310003,0.8998247946580235,176,0.22505113287024936,199,COMPLETE
25,0.21166666666666667,2024-06-29 17:41:42.719284,2024-06-29 17:43:54.040037,0 days 00:02:11.320753,0.95840455622649,147,0.04677290278596722,156,COMPLETE
26,0.21166666666666667,2024-06-29 17:43:54.041035,2024-06-29 17:45:46.754657,0 days 00:01:52.713622,0.9074043391479311,106,0.41380840614503284,181,COMPLETE
27,0.205,2024-06-29 17:45:46.756651,2024-06-29 17:47:33.143241,0 days 00:01:46.386590,0.9986947933052505,125,0.18390324014040937,148,COMPLETE
28,0.2683333333333333,2024-06-29 17:47:33.144239,2024-06-29 17:49:24.595087,0 days 00:01:51.450848,0.8318857020092956,150,0.13202118499463472,130,COMPLETE
29,0.25333333333333335,2024-06-29 17:49:24.596083,2024-06-29 17:52:43.397383,0 days 00:03:18.801300,0.80064409473464,183,0.36507093399736024,190,COMPLETE
30,0.20083333333333334,2024-06-29 17:52:43.398340,2024-06-29 17:55:21.454875,0 days 00:02:38.056535,0.9689416658665593,160,0.06222945286231255,173,COMPLETE
31,0.185,2024-06-29 17:55:21.456869,2024-06-29 17:57:50.816600,0 days 00:02:29.359731,0.995934864082943,138,0.011417814418010683,189,COMPLETE
32,0.18166666666666667,2024-06-29 17:57:50.817594,2024-06-29 18:00:28.184773,0 days 00:02:37.367179,0.936255767749735,137,0.02970545284186456,200,COMPLETE
33,0.23583333333333334,2024-06-29 18:00:28.185771,2024-06-29 18:02:22.168897,0 days 00:01:53.983126,0.9250740114025219,110,0.062462520896178174,178,COMPLETE
34,0.19583333333333333,2024-06-29 18:02:22.169894,2024-06-29 18:04:40.440750,0 days 00:02:18.270856,0.9861085034576407,126,0.0157102432649611,191,COMPLETE
35,0.22083333333333333,2024-06-29 18:04:40.441747,2024-06-29 18:06:09.331389,0 days 00:01:28.889642,0.9676416747700493,88,0.07996604636716197,163,COMPLETE
36,0.21333333333333335,2024-06-29 18:06:09.333384,2024-06-29 18:08:47.027293,0 days 00:02:37.693909,0.8805991604929908,141,0.04073338224611252,193,COMPLETE
37,0.18083333333333335,2024-06-29 18:08:47.028291,2024-06-29 18:11:05.751847,0 days 00:02:18.723556,0.922953846262095,121,0.13142613724194024,180,COMPLETE
38,0.21166666666666667,2024-06-29 18:11:05.754836,2024-06-29 18:13:10.428212,0 days 00:02:04.673376,0.9717681437099783,157,0.11145168934588404,112,COMPLETE
39,0.29833333333333334,2024-06-29 18:13:10.429208,2024-06-29 18:14:32.726150,0 days 00:01:22.296942,0.6367861393932244,136,0.31497413071874114,98,COMPLETE
40,0.2991666666666667,2024-06-29 18:14:32.728103,2024-06-29 18:16:46.345062,0 days 00:02:13.616959,0.7072958782974688,129,0.037141176642638926,170,COMPLETE
41,0.2683333333333333,2024-06-29 18:16:46.346059,2024-06-29 18:17:46.648804,0 days 00:01:00.302745,0.9201785504472138,120,0.23649896837951687,82,COMPLETE
42,0.20666666666666667,2024-06-29 18:17:46.649764,2024-06-29 18:20:24.094476,0 days 00:02:37.444712,0.9436617154394085,145,0.11756730886940278,177,COMPLETE
43,0.18416666666666667,2024-06-29 18:20:24.095455,2024-06-29 18:22:40.031179,0 days 00:02:15.935724,0.9998312946381512,121,0.14893385468973686,184,COMPLETE
44,0.2775,2024-06-29 18:22:40.032176,2024-06-29 18:23:13.737026,0 days 00:00:33.704850,0.97319558353608,111,0.0707358152549811,51,COMPLETE
45,0.23166666666666666,2024-06-29 18:23:13.738020,2024-06-29 18:25:48.153002,0 days 00:02:34.414982,0.8966936028659661,132,0.19951539523717576,194,COMPLETE
46,0.21583333333333332,2024-06-29 18:25:48.154997,2024-06-29 18:28:09.756366,0 days 00:02:21.601369,0.9565032573663413,151,0.04735093361232835,150,COMPLETE
47,0.21916666666666668,2024-06-29 18:28:09.757364,2024-06-29 18:30:15.494747,0 days 00:02:05.737383,0.8640671881145091,98,0.010888210305591471,168,COMPLETE
48,0.245,2024-06-29 18:30:15.497781,2024-06-29 18:32:28.615200,0 days 00:02:13.117419,0.9268854187060476,77,0.10052016533906628,130,COMPLETE
49,0.18833333333333332,2024-06-29 18:32:28.617195,2024-06-29 18:33:50.741106,0 days 00:01:22.123911,0.9789819667095292,51,0.16561126252442077,178,COMPLETE
