number;value;datetime_start;datetime_complete;duration;params_alpha;params_beta;params_evaporation_rate;params_num_ants;params_num_iterations;state
0;0.42916666666666664;2024-06-30 20:48:10.596124;2024-06-30 20:54:56.619657;0 days 00:06:46.023533;2.3299848545285125;3.3946339367881464;0.22481491235394924;50;193;COMPLETE
1;0.4475;2024-06-30 20:54:56.621624;2024-06-30 20:56:14.444682;0 days 00:01:17.823058;2.665440364437338;3.404460046972835;0.6664580622368363;32;58;COMPLETE
2;0.42;2024-06-30 20:56:14.447012;2024-06-30 20:59:14.771578;0 days 00:03:00.324566;2.5811066020010545;1.8493564427131046;0.24545997376568052;21;196;COMPLETE
3;0.43166666666666664;2024-06-30 20:59:14.773862;2024-06-30 21:01:30.612596;0 days 00:02:15.838734;1.8118910790805947;2.727780074568463;0.3329833121584336;34;95;COMPLETE
4;0.43166666666666664;2024-06-30 21:01:30.618786;2024-06-30 21:04:49.187560;0 days 00:03:18.568774;1.2303616213380453;2.465447373174767;0.46485598737362877;69;71;COMPLETE
5;0.43083333333333335;2024-06-30 21:04:49.189562;2024-06-30 21:09:16.079884;0 days 00:04:26.890322;1.785586096034029;3.36965827544817;0.13716033017599819;83;80;COMPLETE
6;0.4125;2024-06-30 21:09:16.085491;2024-06-30 21:12:46.242246;0 days 00:03:30.156755;0.6626289824631988;4.7955421490133325;0.8725056264596475;69;75;COMPLETE
7;0.4166666666666667;2024-06-30 21:12:46.244931;2024-06-30 21:18:12.842892;0 days 00:05:26.597961;0.7441802850159597;3.7369321060486276;0.45212199499168104;85;95;COMPLETE
8;0.42333333333333334;2024-06-30 21:18:12.844929;2024-06-30 21:20:46.560787;0 days 00:02:33.715858;0.585971302788046;4.637281608315128;0.3070239852800135;29;124;COMPLETE
9;0.42;2024-06-30 21:20:46.562960;2024-06-30 21:25:32.852535;0 days 00:04:46.289575;1.800170052944527;3.1868411173731186;0.24788356442042164;73;97;COMPLETE
